,label,yc,xc
0,1,49.335786212238574,1047.4457784663052
1,2,73.02577319587628,23.396907216494846
2,3,205.90773286467487,1282.2826596367897
3,4,248.60718401844025,589.5046100653093
4,5,439.0772011909826,1552.5642279880901
5,6,424.8258426966292,19.646067415730336
6,7,565.3767507002801,1971.2721755368814
7,8,590.7382684612586,951.1660603855947
8,9,669.9188001528468,430.1633549866259
9,10,704.0204991087344,1579.4001782531195
10,11,794.6911468812878,1347.9386317907445
11,12,961.576891615542,1764.9143149284253
12,13,951.8209411764706,88.58705882352942
13,14,1006.5383111806099,847.7845973416731
14,15,1232.9029012634535,1965.3764623303696
15,16,1327.9612129760226,1353.8737658674188
16,17,1351.005785123967,757.194214876033
17,18,1427.1896689270043,225.44575189469487
18,19,1785.104433077579,1335.8256606990622
19,20,1801.371235721703,262.53011422637593
20,21,1807.168680445151,648.1276629570747
21,22,1847.617571884984,1838.7268370607028
